sport,date,home_team,away_team,time
NBA,2022-10-18,Philadelphia,Boston,19:30
NBA,2022-10-18,LA Lakers,Golden State,22:00
NBA,2022-10-19,Orlando,Detroit,19:00
NBA,2022-10-19,Washington,Indiana,19:00
NBA,2022-10-19,Houston,Atlanta,19:30
NBA,2022-10-19,New Orleans,Brooklyn,19:30
NBA,2022-10-19,Chicago,Miami,19:30
NBA,2022-10-19,Cleveland,Toronto,19:30
NBA,2022-10-19,New York,Memphis,19:30
NBA,2022-10-19,Okla City,Minnesota,20:00
NBA,2022-10-19,Charlotte,San Antonio,20:00
NBA,2022-10-19,Denver,Utah,21:00
NBA,2022-10-19,Dallas,Phoenix,22:00
NBA,2022-10-19,Portland,Sacramento,22:00
NBA,2022-10-20,Milwaukee,Philadelphia,19:30
NBA,2022-10-20,LA Clippers,LA Lakers,22:00
NBA,2022-10-21,New Orleans,Charlotte,19:00
NBA,2022-10-21,San Antonio,Indiana,19:00
NBA,2022-10-21,Chicago,Washington,19:00
NBA,2022-10-21,Orlando,Atlanta,19:30
NBA,2022-10-21,Toronto,Brooklyn,19:30
NBA,2022-10-21,Boston,Miami,19:30
NBA,2022-10-21,Detroit,New York,19:30
NBA,2022-10-21,Memphis,Houston,20:00
NBA,2022-10-21,Utah,Minnesota,20:00
NBA,2022-10-21,Denver,Golden State,22:00
NBA,2022-10-21,Phoenix,Portland,22:00
NBA,2022-10-22,San Antonio,Philadelphia,18:00
NBA,2022-10-22,Detroit,Indiana,19:00
NBA,2022-10-22,Boston,Orlando,19:00
NBA,2022-10-22,Toronto,Miami,20:00
NBA,2022-10-22,Cleveland,Chicago,20:00
NBA,2022-10-22,Houston,Milwaukee,20:00
NBA,2022-10-22,Memphis,Dallas,20:30
NBA,2022-10-22,Okla City,Denver,21:00
NBA,2022-10-22,LA Clippers,Sacramento,22:00
NBA,2022-10-23,Portland,LA Lakers,15:30
NBA,2022-10-23,Charlotte,Atlanta,17:00
NBA,2022-10-23,Washington,Cleveland,19:00
NBA,2022-10-23,Utah,New Orleans,19:00
NBA,2022-10-23,Minnesota,Okla City,20:00
NBA,2022-10-23,Sacramento,Golden State,20:30
NBA,2022-10-23,Phoenix,LA Clippers,22:00
NBA,2022-10-24,Indiana,Philadelphia,19:00
NBA,2022-10-24,Toronto,Miami,19:30
NBA,2022-10-24,Orlando,New York,19:30
NBA,2022-10-24,Boston,Chicago,20:00
NBA,2022-10-24,Utah,Houston,20:00
NBA,2022-10-24,Brooklyn,Memphis,20:00
NBA,2022-10-24,San Antonio,Minnesota,20:00
NBA,2022-10-24,Denver,Portland,22:00
NBA,2022-10-25,Detroit,Washington,19:00
NBA,2022-10-25,Dallas,New Orleans,19:30
NBA,2022-10-25,LA Clippers,Okla City,20:00
NBA,2022-10-25,Golden State,Phoenix,22:00
NBA,2022-10-26,Orlando,Cleveland,19:00
NBA,2022-10-26,Atlanta,Detroit,19:00
NBA,2022-10-26,Charlotte,New York,19:30
NBA,2022-10-26,Philadelphia,Toronto,19:30
NBA,2022-10-26,Brooklyn,Milwaukee,19:30
NBA,2022-10-26,Indiana,Chicago,20:00
NBA,2022-10-26,San Antonio,Minnesota,20:00
NBA,2022-10-26,Houston,Utah,21:00
NBA,2022-10-26,LA Lakers,Denver,22:00
NBA,2022-10-26,Miami,Portland,22:00
NBA,2022-10-27,Dallas,Brooklyn,19:30
NBA,2022-10-27,LA Clippers,Okla City,20:00
NBA,2022-10-27,Miami,Golden State,22:00
NBA,2022-10-27,Memphis,Sacramento,22:00
NBA,2022-10-28,Atlanta,Detroit,19:00
NBA,2022-10-28,Charlotte,Orlando,19:00
NBA,2022-10-28,Cleveland,Boston,19:30
NBA,2022-10-28,Philadelphia,Toronto,19:30
NBA,2022-10-28,Indiana,Washington,19:30
NBA,2022-10-28,New York,Milwaukee,20:00
NBA,2022-10-28,LA Lakers,Minnesota,20:00
NBA,2022-10-28,Chicago,San Antonio,20:30
NBA,2022-10-28,Utah,Denver,21:00
NBA,2022-10-28,New Orleans,Phoenix,22:00
NBA,2022-10-28,Houston,Portland,22:00
NBA,2022-10-29,Miami,Sacramento,18:00
NBA,2022-10-29,Golden State,Charlotte,19:00
NBA,2022-10-29,Indiana,Brooklyn,19:30
NBA,2022-10-29,Philadelphia,Chicago,20:00
NBA,2022-10-29,Atlanta,Milwaukee,20:00
NBA,2022-10-29,Okla City,Dallas,21:00
NBA,2022-10-29,Memphis,Utah,21:00
NBA,2022-10-30,New Orleans,LA Clippers,15:00
NBA,2022-10-30,Washington,Boston,18:00
NBA,2022-10-30,New York,Cleveland,18:00
NBA,2022-10-30,Golden State,Detroit,18:00
NBA,2022-10-30,Minnesota,San Antonio,19:00
NBA,2022-10-30,Orlando,Dallas,19:30
NBA,2022-10-30,Houston,Phoenix,21:00
NBA,2022-10-30,Denver,LA Lakers,21:30
NBA,2022-10-31,Sacramento,Charlotte,19:00
NBA,2022-10-31,Philadelphia,Washington,19:00
NBA,2022-10-31,Indiana,Brooklyn,19:30
NBA,2022-10-31,Atlanta,Toronto,19:30
NBA,2022-10-31,Detroit,Milwaukee,20:00
NBA,2022-10-31,Memphis,Utah,21:00
NBA,2022-10-31,Houston,LA Clippers,22:30
NBA,2022-11-1,Chicago,Brooklyn,19:30
NBA,2022-11-1,Golden State,Miami,19:30
NBA,2022-11-1,Orlando,Okla City,20:00
NBA,2022-11-1,Minnesota,Phoenix,22:00
NBA,2022-11-2,Washington,Philadelphia,18:00
NBA,2022-11-2,Boston,Cleveland,19:30
NBA,2022-11-2,Sacramento,Miami,19:30
NBA,2022-11-2,Atlanta,New York,19:30
NBA,2022-11-2,Charlotte,Chicago,20:00
NBA,2022-11-2,Toronto,San Antonio,20:00
NBA,2022-11-2,LA Clippers,Houston,20:00
NBA,2022-11-2,Detroit,Milwaukee,20:00
NBA,2022-11-2,Utah,Dallas,20:30
NBA,2022-11-2,Memphis,Portland,22:00
NBA,2022-11-2,New Orleans,LA Lakers,22:30
NBA,2022-11-3,Golden State,Orlando,19:00
NBA,2022-11-3,Denver,Okla City,20:00
NBA,2022-11-4,New York,Philadelphia,19:00
NBA,2022-11-4,Brooklyn,Washington,19:00
NBA,2022-11-4,Miami,Indiana,19:00
NBA,2022-11-4,Cleveland,Detroit,19:00
NBA,2022-11-4,Chicago,Boston,19:30
NBA,2022-11-4,Charlotte,Memphis,20:00
NBA,2022-11-4,LA Clippers,San Antonio,20:00
NBA,2022-11-4,Toronto,Dallas,20:30
NBA,2022-11-4,Golden State,New Orleans,20:30
NBA,2022-11-4,Milwaukee,Minnesota,22:00
NBA,2022-11-4,Portland,Phoenix,22:00
NBA,2022-11-4,Utah,LA Lakers,22:30
NBA,2022-11-5,Sacramento,Orlando,17:00
NBA,2022-11-5,Brooklyn,Charlotte,19:00
NBA,2022-11-5,New Orleans,Atlanta,19:30
NBA,2022-11-5,Boston,New York,19:30
NBA,2022-11-5,Okla City,Milwaukee,20:00
NBA,2022-11-5,Houston,Minnesota,20:00
NBA,2022-11-5,San Antonio,Denver,21:00
NBA,2022-11-5,Portland,Phoenix,22:00
NBA,2022-11-6,Cleveland,LA Lakers,15:30
NBA,2022-11-6,Chicago,Toronto,18:00
NBA,2022-11-6,Washington,Memphis,18:00
NBA,2022-11-6,Utah,LA Clippers,22:00
NBA,2022-11-7,Washington,Charlotte,19:00
NBA,2022-11-7,Houston,Orlando,19:15
NBA,2022-11-7,Okla City,Detroit,19:30
NBA,2022-11-7,New Orleans,Indiana,19:45
NBA,2022-11-7,Phoenix,Philadelphia,20:00
NBA,2022-11-7,Milwaukee,Atlanta,20:15
NBA,2022-11-7,Portland,Miami,20:30
NBA,2022-11-7,Toronto,Chicago,20:45
NBA,2022-11-7,Boston,Memphis,21:00
