Tue Oct 18,Time,Location
Philadelphia @ Boston,7:30 PM,TD Garden
LA Lakers @ Golden State,10:00 PM,Chase Center
Wed Oct 19,Time,Location
Orlando @ Detroit,7:00 PM,Little Caesars Arena
Washington @ Indiana,7:00 PM,Gainbridge Fieldhouse
Houston @ Atlanta,7:30 PM,State Farm Arena
New Orleans @ Brooklyn,7:30 PM,Barclays Center
Chicago @ Miami,7:30 PM,FTX Arena
Cleveland @ Toronto,7:30 PM,Scotiabank Arena
New York @ Memphis,7:30 PM,FedExForum
Okla City @ Minnesota,8:00 PM,Target Center
Charlotte @ San Antonio,8:00 PM,AT&T Center
Denver @ Utah,9:00 PM,Vivint Arena
Dallas @ Phoenix,10:00 PM,Footprint Center
Portland @ Sacramento,10:00 PM,Golden 1 Center
Thu Oct 20,Time,Location
Milwaukee @ Philadelphia,7:30 PM,Wells Fargo Center
LA Clippers @ LA Lakers,10:00 PM,Crypto.com Arena
Fri Oct 21,Time,Location
New Orleans @ Charlotte,7:00 PM,Spectrum Center
San Antonio @ Indiana,7:00 PM,Gainbridge Fieldhouse
Chicago @ Washington,7:00 PM,Capital One Arena
Orlando @ Atlanta,7:30 PM,State Farm Arena
Toronto @ Brooklyn,7:30 PM,Barclays Center
Boston @ Miami,7:30 PM,FTX Arena
Detroit @ New York,7:30 PM,Madison Square Garden
Memphis @ Houston,8:00 PM,Toyota Center
Utah @ Minnesota,8:00 PM,Target Center
Denver @ Golden State,10:00 PM,Chase Center
Phoenix @ Portland,10:00 PM,Moda Center
Sat Oct 22,Time,Location
San Antonio @ Philadelphia,6:00 PM,Wells Fargo Center
Detroit @ Indiana,7:00 PM,Gainbridge Fieldhouse
Boston @ Orlando,7:00 PM,Amway Center
Toronto @ Miami,8:00 PM,FTX Arena
Cleveland @ Chicago,8:00 PM,United Center
Houston @ Milwaukee,8:00 PM,Fiserv Forum
Memphis @ Dallas,8:30 PM,American Airlines Center
Okla City @ Denver,9:00 PM,Ball Arena
LA Clippers @ Sacramento,10:00 PM,Golden 1 Center
Sun Oct 23,Time,Location
Portland @ LA Lakers,3:30 PM,Crypto.com Arena
Charlotte @ Atlanta,5:00 PM,State Farm Arena
Washington @ Cleveland,7:00 PM,Rocket Mortgage FieldHouse
Utah @ New Orleans,7:00 PM,Smoothie King Center
Minnesota @ Okla City,8:00 PM,Paycom Center
Sacramento @ Golden State,8:30 PM,Chase Center
Phoenix @ LA Clippers,10:00 PM,Crypto.com Arena
Mon Oct 24,Time,Location
Indiana @ Philadelphia,7:00 PM,Wells Fargo Center
Toronto @ Miami,7:30 PM,FTX Arena
Orlando @ New York,7:30 PM,Madison Square Garden
Boston @ Chicago,8:00 PM,United Center
Utah @ Houston,8:00 PM,Toyota Center
Brooklyn @ Memphis,8:00 PM,FedExForum
San Antonio @ Minnesota,8:00 PM,Target Center
Denver @ Portland,10:00 PM,Moda Center
Tue Oct 25,Time,Location
Detroit @ Washington,7:00 PM,Capital One Arena
Dallas @ New Orleans,7:30 PM,Smoothie King Center
LA Clippers @ Okla City,8:00 PM,Paycom Center
Golden State @ Phoenix,10:00 PM,Footprint Center
Wed Oct 26,Time,Location
Orlando @ Cleveland,7:00 PM,Rocket Mortgage FieldHouse
Atlanta @ Detroit,7:00 PM,Little Caesars Arena
Charlotte @ New York,7:30 PM,Madison Square Garden
Philadelphia @ Toronto,7:30 PM,Scotiabank Arena
Brooklyn @ Milwaukee,7:30 PM,Fiserv Forum
Indiana @ Chicago,8:00 PM,United Center
San Antonio @ Minnesota,8:00 PM,Target Center
Houston @ Utah,9:00 PM,Vivint Arena
LA Lakers @ Denver,10:00 PM,Ball Arena
Miami @ Portland,10:00 PM,Moda Center
Thu Oct 27,Time,Location
Dallas @ Brooklyn,7:30 PM,Barclays Center
LA Clippers @ Okla City,8:00 PM,Paycom Center
Miami @ Golden State,10:00 PM,Chase Center
Memphis @ Sacramento,10:00 PM,Golden 1 Center
Fri Oct 28,Time,Location
